0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:03 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:03 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:03 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:03 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:03 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:04 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:04 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:04 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:07 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:07 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:07 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:07 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:08 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:09 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:09 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:09 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:09 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
