0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:14 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:15 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:16 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:16 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:16 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:16 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:16 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:21 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:31 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:31 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:32 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:32 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:00 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3043
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:03 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3043
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:03 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3043
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:16 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3043
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:31 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:31 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:42 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:42 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:48 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/homecss.css HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/jQuery%20Mask/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/img/background%20(1).svg HTTP/1.1" 200 49577
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/img/logot.png HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/bootstrap/jquery/dist/jquery.slim.min.js HTTP/1.1" 200 71037
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/homejs.js HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/img/iphone700px.png HTTP/1.1" 200 349541
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/img/screen.png HTTP/1.1" 200 71476
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:53:49 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:54:09 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10853
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:54:09 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:54:46 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:55:19 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:55:19 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:55:23 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:55:56 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:59:05 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3382
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:06:12 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:06:32 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3042
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:07:48 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3042
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:08:24 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3033
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:08:36 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3068
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:08:48 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 2987
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:11:00 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:11:17 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:11:18 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 2951
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:11:43 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:06 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:07 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:10 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 7548
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:11 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10853
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:11 -0200] "GET /SmartBank/homecss.css HTTP/1.1" 200 6215
